category	question	answer
삼성계정 	 삼성계정에 대한 문의는 어디로 하나요? 	 삼성 서비스 이용을 위한 회원가입/로그인 등 삼성계정 관련 문의는 ☎ 1588-3366으로 문의하시기 바랍니다.
삼성계정 	 삼성계정(Samsung Account)이란? 	 삼성계정(Samsung Account)은 하나의 계정을 통해 Samsung Apps, Find My Mobile, 그리고 다양한 삼성 Mobile/TV/Web 기반의 삼성 서비스를 방문/이용할 수 있도록 제공되는 통합 계정 서비스이며, 삼성계정(Samsung Account)을 기반으로 하는 다른 서비스들을 추가 가입 절차 없이 즐기실 수 있습니다. 삼성닷컴 이용 외 다른서비스에 대한 자세한 사항은 삼성계정 홈페이지([https://account.samsung.com/](https://account.samsung.com/))를 방문하셔서 확인하시기 바랍니다.
삼성계정 	 삼성계정에 가입한 ID(E-mail)를 찾고 싶어요. 	 삼성계정을 찾기 위해서는 로그인 페이지의 'ID 찾기 및 비밀번호 재설정' 링크를 통해 찾을 수 있습니다. 1. 링크를 선택하여 열리는 삼성계정 페이지에서 'ID 찾기' 탭을 선택합니다. 2. 'ID 찾기' 화면에서 성, 이름, 생년월일을 입력합니다. 3. 'ID 찾기' 버튼을 선택하면 가입하실 때 입력하신 삼성계정의 ID(E-mail)를 확인할 수 있습니다.
회원가입/탈퇴 	 삼성닷컴 회원가입 시 혜택이 있나요? 	 삼성닷컴의 회원이 되시면 상품 구매 시 3% 할인과 구매 금액에 따라 삼성전자 포인트 적립 혜택을 드립니다. (단, 휴대폰/태블릿/기어 및 일부 제품은 회원 3% 할인 제외) 또한 상품 결제 시 쿠폰과 이벤트 코드 및 삼성전자 포인트 사용이 가능합니다.
회원가입/탈퇴 	 삼성닷컴의 회원가입은 어떻게 하나요? 	 삼성닷컴의 회원은 삼성계정 가입하여 ID와 PASSWORD를 만듭니다. 회원가입 방법은 삼성닷컴에서 로그인 > 회원가입 바로가기를 통해 삼성계정 회원가입에서 개인정보 제공, 본인 인증, 이용약관 동의 등의 절차를 거쳐 ID와 PASSWORD를 생성합니다.
회원가입/탈퇴 	 삼성계정의 ID는 무엇인가요? 	 삼성계정에 가입하실 때 입력하신 E-mail 주소, 또는 전화번호로 가입하신 경우에는 전화번호가 삼성계정의 ID로 활용됩니다.
회원가입/탈퇴 	 회원가입에 연령 제한이 있나요? 	 삼성닷컴 회원가입은 삼성전자 멤버십 혜택 제공을 위해 만 14세 이상으로 제한됩니다.
회원가입/탈퇴 	 인증 E-mail을 받지 못했어요.인증 E-mail을 다시 받고 싶어요. 	 삼성계정에서 보내드린 인증 E-mail이 수신함에 없다면, 스팸E-mail 함에 있는지 먼저 확인을 부탁드립니다. 받은 E-mail 함, 스팸E-mail 함에서도 인증 E-mail을 찾으실 수 없다면,아래 알려드리는 방법으로 인증 E-mail을 다시 받으실 수 있습니다. 1. 스마트폰, 태블릿에서 재전송 기능 삼성계정 로그인 페이지에서 로그인을 하시면, 인증되지 않은 계정인 경우 재전송 링크('인증 E-mail을 다시 받고 싶으시면, 여기를 탭 하세요' 혹은 '인증 E-mail을 찾을 수 없습니까?')를 누르실 수 있습니다. 2. PC 웹사이트에서 재전송 기능 삼성계정 사이트([https://account.samsung.com](https://account.samsung.com))에서 가입하신 계정으로 로그인을 하시면, 인증되지 않은 계정인 경우 '재전송' 버튼을 누르실 수 있습니다.
회원가입/탈퇴 	 E-mail 인증이 성공적으로 되었는지 확인하고 싶어요. 	 E-mail 인증이 성공적으로 완료되었는지 확인하고 싶으시면, 가입하신 E-mail과 비밀번호로 로그인을 시도해 보세요. 로그인이 되어 서비스를 이용할 수 있는 계정은 E-mail 인증이 성공적으로 완료된 계정입니다. 인증을 완료했는데도 계정을 정상적으로 이용할 수 없는 경우에는 ☎ 1588-3366로 문의하시기 바랍니다.
회원가입/탈퇴 	 인증 E-mail을 여러 개 받았어요. 	 인증 E-mail을 여러 개 받으신 경우, 가장 나중에 받으신 E-mail이 유효한 인증 E-mail입니다.
