category	question	answer
Samsung care plus	Are loss and theft covered by my policy?	"From 28th April, 2022, Samsung Care+ can be purchased as accidental damage cover or accidental damage and theft cover.

From 28th April, 2022, Samsung Care+ can be purchased as accidental damage cover or accidental damage and theft cover. Samsung Care+ is NOT available with loss cover in any circumstances. Please note a policy cannot be upgraded after point of purchase to include theft cover."
Samsung care plus	What do you mean by accidental damage?	"Accidental damage refers to a device failing to function correctly or safely as the result of an incident that has happened by accident.

Accidental damage refers to a device failing to function correctly or safely as the result of an incident that has happened by accident. For example, it is dropped, something is dropped on it or liquid spilled onto it. If your accidental damage claim is accepted, we will choose to either authorise a repair or, arrange a replacement (at our discretion)."
Samsung care plus	What is the excess?	"Samsung Care+ excess varies by device and plan. Explore details to determine your specific excess.

The excess on Samsung Care+ depends on your device model and policy type. Please go to https://www.samsung.com/uk/offer/samsung-care-plus/ for more info. The excess must be paid before successful claims can be completed."
Samsung care plus	Is cosmetic damage covered?	"Cracked screens are covered under Samsung Care+, but cosmetic damage like scratches and dents is not.

Cosmetic damage such as scratches and dents aren’t covered, but cracked screens are."
Samsung care plus	Where can I find out more information about Samsung Care+?	"Seek comprehensive information about Samsung Care+ on our dedicated page.

"
Samsung care plus	What do you mean by worldwide cover?	"Enjoy worldwide protection with Samsung Care+. Claims can be made while away, and devices are repaired or replaced upon returning to the UK.

For Assurant customers as long as you remain a UK resident your device is also covered by Samsung Care+ when you’re outside of the UK.

For Allianz customers if your device is accidentally damaged while you’re away, as long as you haven’t been abroad for longer than 60 consecutive days, you’ll be covered.

You can make a claim while you are away and if accepted your device will either be repaired or replaced when you return to the UK. Please note in the event your device is replaced we can only deliver a replacement to your UK address.
"
Samsung care plus	What happens if my phone or device is replaced?	"Samsung Care+ replacement devices retain your current coverage period and updates your warranty period.

In the event your device needs to be replaced all replacement devices come with:

• The remaining period of cover on your Samsung Care+ from the original insured device; and
• The remaining period of your Samsung two-year limited warranty from the original insured device or with a 90-day limited warranty (whichever is longer).

We'll try to replace your device with one of the same colour but can’t guarantee this will always be possible. We also can’t guarantee to replace any limited or special edition device. If we can’t provide you with a replacement of the same make and model, we will give you a choice of devices with a similar specification. Any replacement device may come from fully refurbished stock (not brand new). Before we send any device to settle a claim, we carry out a comprehensive checking process to make sure they are in full working order.

Where we send you a replacement or repaired item, this will only be sent to a UK address. In the event we are unable to repair or provide a replacement we will contact you to discuss a different way to pay your claim."
Samsung care plus	Can I get Samsung Care for all Samsung phones and devices?	"Protect your eligible Samsung mobile devices with Samsung Care+, available at point of sale, during purchase or on our dedicated website.

The majority of Samsung mobile devices including smartphones, tablets, wearables and laptops under 6 months old are eligible for Samsung Care+ which can be purchased at point of sale, alongside purchase of the device or via our dedicated Samsung Care+ website.

For more information on how and where to buy please visit https://www.samsung.com/uk/offer/samsung-care-plus/
"
Samsung care plus	Is there a cooling off period?	"Enjoy a cooling-off period of 14 days for Assurant policies. Cancel within this period for a full refund.

The 'cooling off period' is the 14-day period from the policy start date if you have an Assurant policy.

If you change your mind during the cooling off period, you can cancel your policy and you will receive a full refund, provided no claims were made.

If your policy automatically ends or is cancelled by us, these rights do not apply (see our Assurant Terms and Conditions or Allianz Terms and Conditions for more details).
"
Samsung care plus	Who is Allianz?	"Samsung Care+ policies purchased before 28th April 2022 are handled by Allianz Insurance, a leading global insurer.

Allianz Insurance is one of the largest general insurers in the UK and part of the Allianz SE Group, the largest property and casualty insurer in the world. Allianz SE Group employs 142,000 employees worldwide, serving 85m customers in more than 70 countries. In the UK, Allianz Insurance employs over 4,600 people across a network of 26 offices. The company’s Head Office is situated in Guildford, Surrey. We have additional support services with over 1,000 people based in Trivandrum, India.

Samsung Care+ policies purchased before the 28th of April, 2022 are held with Allianz.
"
Samsung care plus	Who is Assurant?	"Samsung Care+ policies purchased from 28th April 2022 onwards are managed by Assurant, a global business services leader.

Assurant is a leading global business services company that supports, protects and connects major consumer purchases. Assurant employs more than 15,500 employees worldwide. A Fortune 300 company with a presence in 21 countries, Assurant serves over 300 million consumers around the world. The company’s European head office is based in Crewe, Cheshire.

Samsung Care+ policies purchased after the 28th of April, 2022 are held with Assurant.
"
Samsung care plus	How do I cancel my Samsung Care+ policy?	"Cancel your Assurant Samsung Care+ policy online or contact us for assistance.

If you have an Allianz policy you want to cancel, please call us on 0333 000 0333 and we will be happy to assist.

If you have an Assurant policy you want to cancel, please visit www.claims.samsungcareplus.assurant.co.uk .

In the event Samsung Care+ is purchased with a device and the device is returned to the point of purchase you must notify Samsung of the return and a cancelation will be processed. A pro-rata refund will be provided as long as a claim has not been made in this period.
"
